id,value
5705,1.4077
16296,1.3596
11667,1.1482
9074,1.0241
9952,1.0241
11072,1.0241
11270,1.0241
13579,1.0241
222,1.0019
920,1.0019
1360,1.0019
1552,1.0019
2129,1.0019
2386,1.0019
4043,1.0019
4088,1.0019
4249,1.0019
8832,1.0019
8982,1.0019
9773,1.0019
10613,1.0019
10688,1.0019
11273,1.0019
11392,1.0019
12284,1.0019
13452,1.0019
13926,1.0019
14073,1.0019
14311,1.0019
14587,1.0019
15362,1.0019
17487,1.0019
1074,0.9912
1123,0.9912
1605,0.9912
2096,0.9912
2817,0.9912
2850,0.9912
2937,0.9912
3201,0.9912
3320,0.9912
3379,0.9912
3603,0.9912
3810,0.9912
4704,0.9912
5111,0.9912
5257,0.9912
5357,0.9912
5362,0.9912
5380,0.9912
5466,0.9912
5669,0.9912
5733,0.9912
5912,0.9912
7045,0.9912
7099,0.9912
7128,0.9912
7398,0.9912
8069,0.9912
8205,0.9912
8735,0.9912
9080,0.9912
9364,0.9912
10300,0.9912
10571,0.9912
11067,0.9912
11322,0.9912
11413,0.9912
11868,0.9912
11898,0.9912
12463,0.9912
13122,0.9912
13293,0.9912
13442,0.9912
13891,0.9912
14313,0.9912
15669,0.9912
15844,0.9912
16532,0.9912
17435,0.9912
18000,0.9912
18020,0.9912
18043,0.9912
761,0.98779
829,0.98779
872,0.98779
2057,0.98779
2395,0.98779
2637,0.98779
3425,0.98779
4270,0.98779
4271,0.98779
5744,0.98779
5848,0.98779
6294,0.98779
6390,0.98779
6685,0.98779
6884,0.98779
7156,0.98779
8047,0.98779
8275,0.98779
8284,0.98779
8285,0.98779
8470,0.98779
8479,0.98779
9771,0.98779
10901,0.98779
12933,0.98779
12986,0.98779
14014,0.98779
14620,0.98779
18309,0.98779
1450,0.98778
1969,0.98778
2397,0.98778
2721,0.98778
3163,0.98778
3936,0.98778
4071,0.98778
4763,0.98778
5073,0.98778
5828,0.98778
6430,0.98778
7584,0.98778
7708,0.98778
8125,0.98778
9830,0.98778
9881,0.98778
9925,0.98778
10021,0.98778
10170,0.98778
12612,0.98778
12878,0.98778
14078,0.98778
14682,0.98778
1075,0.97565
2256,0.97565
2642,0.97565
3027,0.97565
3885,0.97565
4075,0.97565
4106,0.97565
5123,0.97565
5204,0.97565
5597,0.97565
5778,0.97565
6287,0.97565
6398,0.97565
6431,0.97565
6521,0.97565
6824,0.97565
7388,0.97565
7490,0.97565
7497,0.97565
7499,0.97565
7705,0.97565
8116,0.97565
8330,0.97565
8357,0.97565
8638,0.97565
8772,0.97565
9032,0.97565
9251,0.97565
9416,0.97565
9485,0.97565
9581,0.97565
9896,0.97565
9917,0.97565
10394,0.97565
10529,0.97565
11125,0.97565
11126,0.97565
11133,0.97565
11523,0.97565
12018,0.97565
12640,0.97565
13121,0.97565
13980,0.97565
14498,0.97565
16032,0.97565
17356,0.97565
17690,0.97565
17708,0.97565
18101,0.97565
18254,0.97565
18385,0.97565
1575,0.96717
2197,0.96717
2562,0.96717
3495,0.96717
3842,0.96717
6403,0.96717
6667,0.96717
8296,0.96717
8488,0.96717
9198,0.96717
11150,0.96717
11153,0.96717
12448,0.96717
13832,0.96717
17859,0.96717
17860,0.96717
71,0.95991
80,0.95991
97,0.95991
106,0.95991
121,0.95991
122,0.95991
125,0.95991
154,0.95991
157,0.95991
176,0.95991
178,0.95991
186,0.95991
187,0.95991
189,0.95991
215,0.95991
227,0.95991
247,0.95991
