dim2,dim5,dim9,dim12
-1.028048616,-1.151363821,-0.958589325,-0.927331111
-1.101558281,0.769297777,-0.910501132,-1.016899808
-1.040869187,-0.863994007,-0.954601524,-0.939358002
-1.086006698,0.913866311,-1.052107172,-0.845991338
-1.051982877,-1.24537495,-0.957572828,-1.030430061
-1.052703561,-0.136542607,-0.929501833,-0.968317494
-1.096513499,0.310226838,-0.986660319,-1.05582896
-1.059834529,0.291202839,-1.012776507,-0.864506421
-1.074020603,0.221101652,-1.006599323,-1.106785004
-1.119878798,-1.04792732,-0.905575026,-0.957398339
-1.097158321,0.326444018,-0.845445239,-0.88476224
-1.115402979,-0.074757924,-1.085104274,-0.960325938
-1.080772266,-0.034908015,-0.888685515,-1.08439283
-1.067344806,-0.565223656,-1.120212562,-1.103857404
-1.074893008,-0.487117838,-0.983298055,-0.974726559
-1.017200443,-0.901487575,-0.956478135,-1.115726047
-1.071972346,0.718324545,-0.998389146,-1.118416275
-1.059189708,0.841824608,-1.089873997,-0.986436956
-1.062831054,0.536123837,-1.189256258,-0.97346057
-1.124051174,-1.533032378,-0.972898495,-0.934847916
-1.094275588,-1.158536804,-1.062350349,-1.023546249
-1.048531185,-1.199980709,-1.148518133,-1.012785346
-1.03476235,0.337116864,-1.087684614,-0.937142522
-1.071327524,1.3597348,-0.941387044,-0.908736901
-1.006921229,1.408906119,-1.022863297,-0.954233367
-1.058696607,-0.772443176,-1.043271455,-1.009224751
-1.049289799,1.369229473,-0.992211963,-1.051081502
-1.069279267,0.2541251,-1.055156669,-1.044909808
-1.06370346,0.789881119,-0.959058478,-0.816873597
-1.086575661,1.386555519,-0.963202665,-1.007167519
-1.124013245,-0.202416236,-0.902603722,-1.203079268
-1.076334376,1.51812952,-0.985956589,-1.019036162
-1.05433458,0.69476112,-0.972820302,-1.117150285
-1.097461767,0.379045896,-0.884228561,-1.1601939
-1.108537524,1.416910754,-0.981656019,-1.068963592
-1.06723101,1.437390141,-0.832856299,-0.953995995
-1.044093296,-0.885582263,-0.969692615,-1.06025992
-1.027403794,0.233091278,-0.989084276,-1.006613649
-1.054258718,0.626600452,-1.122558329,-0.884999612
-1.056344908,-0.001849917,-1.042958688,-1.051556249
-1.141840664,1.663564357,-0.879380644,-1.057569693
-1.086120494,1.41801962,-1.149691013,-0.968713115
-1.045231218,0.589592018,-1.078301553,-1.090406274
-1.08380672,1.51067932,-0.964297355,-1.085263195
-1.041741593,0.987086186,-0.981265059,-1.04514718
-1.09052045,-0.991756277,-1.061724812,-0.946637436
-1.049820829,-0.065332552,-1.040065578,-1.129335426
-1.089306669,0.110318909,-0.961247858,-0.979157519
-1.09719625,0.174979717,-1.033262858,-1.080911361
-1.046672583,-1.250953937,-0.880631721,-1.007088396
-1.126440806,1.319988847,-1.018953687,-0.986595205
-1.074172328,0.604319156,-1.177683815,-0.929467465
-1.087030828,0.157203192,-0.926921493,-1.005031165
-1.037834733,-0.887730691,-1.01934465,-1.000204581
-1.075044733,1.308830873,-0.967894195,-0.917994443
-1.074627495,-1.18889204,-0.943420041,-1.035494017
-1.057786272,0.39003061,-0.985174666,-0.990314046
-1.075841276,1.13931283,-0.952177567,-0.884524868
-1.11274783,-1.257849706,-0.915740009,-1.034228028
-1.075803347,-0.224524273,-1.052341749,-0.999175967
-1.022321083,1.727740035,-0.92825076,-1.132263026
-1.087220483,-0.527037048,-0.958354748,-1.120710878
-1.112634038,-0.37297384,-1.031308054,-1.111611585
-0.984314541,-1.026165808,-1.112002385,-1.142865679
-1.09719625,1.322171931,-0.9368519,-1.128544184
-1.086765312,0.335210997,-0.86632255,-0.843063738
-1.085248085,-0.766344409,-0.927390646,-1.115409552
-1.134861418,-0.477345948,-1.080490933,-0.998622097
-1.060706935,0.916742433,-0.997685416,-1.029797068
-1.052172532,1.163534645,-0.837156869,-0.885711731
-1.048910494,-0.515393947,-1.048979485,-0.969266985
-1.071858554,-0.967915638,-1.08072551,-1.064532632
-1.136264853,0.280668601,-1.067511033,-0.935243537
-1.033889944,-0.845489791,-1.101681014,-1.037709498
-1.028958955,1.260144681,-0.930596523,-1.014605202
-1.12207878,-1.159818933,-0.959840401,-1.141995314
-1.084375679,0.671440262,-0.946625921,-1.026632097
-1.048796702,0.86472964,-0.950770107,-1.016425061
-1.090710104,1.53996034,-1.097302254,-0.918152692
-1.169605923,0.75283803,-1.026851098,-1.030113563
-1.048758769,0.815523667,-0.994948689,-1.027977209
-1.042386414,0.436083241,-1.066338149,-1.015633819
-1.031803754,-0.010616896,-1.008319553,-1.069042715
-1.065068962,1.334126903,-0.953506834,-1.03003444
-1.066168954,-1.630772072,-1.095347448,-1.113352318
-1.11449264,1.131724021,-0.870310354,-1.022992379
-1.051072543,1.671118512,-1.089092074,-1.164703986
-1.071099941,1.605868619,-1.054218362,-0.933265432
-1.08714462,0.519837353,-1.106919891,-0.942522974
-1.127616658,-0.256092329,-0.908389946,-0.980186136
-1.007376396,-1.284947642,-0.917616623,-0.922425403
-1.1127099,0.280183474,-1.074157367,-0.996643989
-1.029414122,-0.881216097,-1.035921391,-0.953758623
-1.10390998,-0.218979937,-0.924888496,-0.98857331
-1.100344496,0.144936353,-1.038736311,-1.165099607
-1.086272215,0.766248389,-0.841301053,-1.169530567
-1.021676262,-0.770710572,-1.023801604,-1.024653989
-1.081644671,-1.402428637,-1.008397743,-1.093175625
-1.101444489,-0.648354029,-0.835123872,-0.960484187
-1.090596312,0.876372743,-0.969223462,-1.120790004
-0.992052401,0.110665431,-0.942481737,-1.038421614
-1.075689555,0.794316586,-1.013011084,-0.923374894
-1.036393369,-1.142943364,-0.998076376,-1.05859831
-1.062565537,1.630887432,-0.932160367,-1.095470231
-1.025848638,-0.013943497,-0.963046278,-1.001074949
-1.072465446,0.803603349,-1.095816601,-0.959297324
-1.071327524,0.484873391,-0.878598724,-0.913009612
-1.048720839,-1.068822533,-0.958902094,-0.978049779
-1.08429982,-1.103370672,-1.056329552,-0.894098908
-1.126820115,-0.146418452,-1.113018882,-0.972431956
-1.073261989,0.478358798,-0.968832502,-1.017216306
-1.118209849,-0.408215019,-0.983376246,-1.05195187
-1.053955272,-0.482405154,-1.094409144,-1.072919805
-1.054182859,0.349626267,-1.188005182,-1.055749834
-1.01765561,0.237942571,-0.973602225,-1.088349043
-0.970811218,-0.424536157,-1.09104688,-1.004556418
-1.04094505,0.871902626,-0.980013982,-0.968713115
-1.007338467,1.197770913,-1.019188264,-1.037630372
-1.150185413,-0.926679647,-1.003158867,-1.106072885
-1.098182448,0.026183625,-1.021924991,-0.839582269
-1.080696403,1.292059259,-1.043036882,-1.0009167
-1.013407375,-1.641337497,-0.987833199,-0.978128905
-1.114151265,-0.252765728,-1.027163868,-1.0289267
-1.025621054,1.672331337,-1.049135869,-0.905255432
-1.080810195,0.555286445,-0.987598623,-1.095074607
-1.04993462,-1.531968558,-1.046711912,-1.086687433
-1.087523929,0.215695925,-1.06672911,-0.835309558
-1.084489471,1.189003933,-1.07345364,-1.067381105
-1.106299613,1.535940696,-0.915270856,-0.961591927
-1.026531389,1.392411723,-0.967581425,-1.033832407
-1.060289697,1.67884593,-0.898146769,-0.976862916
-1.052893216,1.459255612,-0.878598724,-0.926935486
-1.021069373,-1.105761667,-0.996668916,-1.070625202
-1.033776153,-1.120592763,-1.037719811,-0.858967721
-1.11324093,0.672271914,-1.027163868,-1.004714667
-1.074930941,-0.479736942,-0.995183266,-0.886502974
-1.117830541,1.735328844,-1.008084977,-1.007325768
-1.103303092,1.727289559,-0.870310354,-0.88586998
-1.006807437,1.375882675,-0.886965288,-0.964519526
-1.057634551,-0.628879553,-0.943498234,-1.005189411
